# Date:     2016-10-04 23:35:14
# Database: cvs
# Target:   all_t2cep
# Query:    (type='BLHer' or type='RVTau' or type='WVir' or type='pWVir') 
# Objects:  603
# Columns:
ID	Field	StarID	RA	Decl	Type	I	V	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-T2CEP-001	LMC154.1	4967	 4:38:15.33	-68:15:32.0	BLHer	17.734	18.452	1.8139522	0.0000063	2162.79006	0.348	0.067	4.852	0.194	2.252
OGLE-LMC-T2CEP-002	LMC148.3	131	 4:42:33.95	-68:37:03.7	WVir	15.711	16.632	18.3235458	0.0007387	2158.39503	0.900	0.126	6.139	0.039	4.172
OGLE-LMC-T2CEP-003	LMC145.6	3272	 4:43:05.54	-66:49:36.1	RVTau	14.166	14.953	35.6599298	0.0083419	2142.86567	0.422	0.162	5.869	0.067	5.320
OGLE-LMC-T2CEP-004	LMC147.2	8596	 4:44:43.64	-68:05:21.3	BLHer	17.612	18.124	1.9160177	0.0000023	2170.18129	0.816	0.482	4.664	0.285	2.273
OGLE-LMC-T2CEP-005	LMC143.2	10081	 4:48:08.33	-69:51:14.2	RVTau	14.739	15.796	33.1853268	0.0029184	2170.33970	0.861	0.076	6.277	0.012	2.917
OGLE-LMC-T2CEP-006	LMC139.3	412	 4:49:48.87	-67:25:20.6	BLHer	18.037	18.513	1.0879243	0.0000024	2171.55516	0.479	0.240	4.608	0.108	2.902
OGLE-LMC-T2CEP-007	LMC135.7	21276	 4:50:50.43	-69:19:23.7	BLHer	18.005	18.597	1.2426421	0.0000033	2166.63717	0.493	0.265	4.379	0.060	4.110
OGLE-LMC-T2CEP-008	LMC136.7	13893	 4:51:11.51	-69:57:27.0	BLHer	17.842	18.585	1.7460989	0.0000067	2165.20369	0.536	0.207	5.438	0.138	2.724
OGLE-LMC-T2CEP-009	LMC131.8	558	 4:52:40.07	-67:09:24.3	BLHer	17.762	18.379	1.7613471	0.0000027	2166.42198	0.730	0.444	4.582	0.245	1.898
OGLE-LMC-T2CEP-010	LMC134.3	20792	 4:54:10.61	-68:33:26.8	BLHer	17.979	18.633	1.5029635	0.0000036	2165.07607	0.620	0.328	4.396	0.062	0.569
OGLE-LMC-T2CEP-011	LMC132.7	12075	 4:54:38.69	-67:30:12.2	RVTau	14.089	14.789	39.2566209	0.0172293	2151.25193	0.181	0.161	5.456	0.035	2.755
OGLE-LMC-T2CEP-012	LMC134.4	4856	 4:54:57.37	-68:29:02.3	WVir	16.193	17.184	11.5808121	0.0005217	2160.74057	0.293	0.128	1.867	0.043	2.268
OGLE-LMC-T2CEP-013	LMC136.2	15823	 4:55:24.41	-69:55:43.4	WVir	16.184	17.119	11.5446113	0.0005438	2157.45185	0.256	0.114	1.987	0.038	3.313
OGLE-LMC-T2CEP-014	LMC136.2	15650	 4:55:35.40	-69:54:04.2	RVTau	14.312	15.103	61.8757127	0.0550170	2161.68872	0.161	0.043	0.349	0.075	5.230
OGLE-LMC-T2CEP-015	LMC133.4	35	 4:55:43.25	-67:51:09.9	RVTau	14.061	15.243	56.5214762	0.0484952	2146.45963	0.484	0.066	5.730	0.036	1.160
OGLE-LMC-T2CEP-016	LMC135.3	35452	 4:55:45.99	-69:07:46.3	RVTau	15.458	15.891	20.2956426	0.0024385	2155.31689	0.173	0.661	5.439	0.072	6.055
OGLE-LMC-T2CEP-017	LMC133.1	25240	 4:56:16.02	-68:16:16.4	WVir	15.986	16.968	14.4547544	0.0002466	2157.70744	0.855	0.110	0.827	0.095	2.758
OGLE-LMC-T2CEP-018	LMC127.8	41912	 4:58:29.81	-69:24:29.3	BLHer	17.964	18.609	1.3795871	0.0000037	2166.70059	0.626	0.315	4.401	0.055	5.926
OGLE-LMC-T2CEP-019	LMC125.7	27931	 4:58:49.42	-68:04:27.8	pWVir	15.989	16.853	8.6748634	0.0000768	2162.74938	0.607	0.270	5.451	0.081	4.306
OGLE-LMC-T2CEP-020	LMC124.8	5103	 4:59:06.12	-67:45:24.6	BLHer	18.036	18.469	1.1081258	0.0000021	2166.10854	0.686	0.386	4.607	0.103	2.816
OGLE-LMC-T2CEP-021	LMC130.1	160	 4:59:34.97	-71:15:31.2	pWVir	15.884	16.580	9.7595024	0.0003610	2161.10277	0.285	0.155	4.589	0.023	3.227
OGLE-LMC-T2CEP-022	LMC129.2	208	 4:59:58.56	-70:34:27.8	WVir	16.271	17.179	10.7167800	0.0003055	2157.78714	0.380	0.123	1.297	0.064	2.367
OGLE-LMC-T2CEP-023	LMC124.8	10484	 5:00:13.00	-67:42:43.7	pWVir	15.511	16.101	5.2348007	0.0000436	2163.87839	0.527	0.317	5.220	0.145	3.706
OGLE-LMC-T2CEP-024	LMC128.3	14497	 5:00:55.43	-69:46:17.6	BLHer	18.096	18.718	1.2466746	0.0000032	2166.41439	0.525	0.242	4.571	0.046	4.718
OGLE-LMC-T2CEP-025	LMC126.3	8347	 5:01:38.78	-68:35:19.0	RVTau	14.042	15.102	67.9654409	0.0616215	2147.81667	0.492	0.189	5.806	0.062	6.071
OGLE-LMC-T2CEP-026	LMC125.1	6189	 5:02:11.56	-68:20:16.0	WVir	16.091	17.026	13.5778689	0.0041969	2156.87252	0.312	0.077	2.340	0.108	1.869
OGLE-LMC-T2CEP-027	LMC120.5	53	 5:02:53.18	-69:36:57.5	WVir	15.722	16.692	17.1335443	0.0005548	2155.15109	0.803	0.038	5.898	0.044	3.171
OGLE-LMC-T2CEP-028	LMC120.8	47	 5:03:00.85	-70:07:33.7	pWVir	15.543	16.045	8.7848073	0.0002400	2168.94800	0.240	0.152	4.894	0.079	4.852
OGLE-LMC-T2CEP-029	LMC126.2	65404	 5:03:04.97	-68:40:24.7	RVTau	14.642	15.446	31.2454401	0.0070390	696.81548	0.378	0.225	5.840	0.039	5.564
OGLE-LMC-T2CEP-030	LMC125.2	18310	 5:03:35.82	-68:10:16.2	BLHer	16.948	17.755	3.9353685	0.0000373	2166.20673	0.417	0.290	5.665	0.108	5.046
OGLE-LMC-T2CEP-031	LMC122.8	13160	 5:03:56.15	-71:15:16.6	WVir	16.664	17.561	6.7059083	0.0001745	2162.05297	0.141	0.114	6.236	0.000	-99.99
OGLE-LMC-T2CEP-032	LMC116.6	1	 5:03:56.31	-67:27:24.6	RVTau	14.011	14.992	44.5611948	0.0144559	2152.87623	0.347	0.145	5.784	0.027	2.303
OGLE-LMC-T2CEP-033	LMC118.8	12356	 5:03:59.16	-68:53:24.0	pWVir	15.788	16.468	9.3945760	0.0001730	722.00042	0.201	0.085	4.248	0.070	3.274
OGLE-LMC-T2CEP-034	LMC119.6	66126	 5:04:07.71	-69:07:31.5	WVir	16.228	17.317	14.9109518	0.0005025	721.66857	0.702	0.101	0.978	0.068	2.668
OGLE-LMC-T2CEP-035	LMC119.7	26958	 5:04:22.36	-69:20:42.4	WVir	16.259	17.162	9.8659435	0.0001606	722.91187	0.224	0.142	1.343	0.034	1.997
OGLE-LMC-T2CEP-036	LMC119.7	27037	 5:04:51.83	-69:23:55.8	WVir	15.845	16.745	14.8805361	0.0003521	716.00046	0.704	0.081	1.317	0.057	2.633
OGLE-LMC-T2CEP-037	LMC122.1	85	 5:05:06.68	-71:17:59.4	WVir	16.655	17.530	6.8974693	0.0003473	2166.20885	0.071	0.088	0.364	0.004	-99.99
OGLE-LMC-T2CEP-038	LMC118.7	21842	 5:05:10.82	-68:47:47.3	WVir	16.181	16.476	4.0136137	0.0000058	724.25471	0.452	0.490	5.428	0.258	4.430
OGLE-LMC-T2CEP-039	LMC116.5	329	 5:05:11.31	-67:12:45.3	WVir	16.322	17.192	8.7158373	0.0002416	2166.31977	0.158	0.132	0.786	0.062	2.111
OGLE-LMC-T2CEP-040	LMC120.6	64155	 5:05:11.81	-69:45:54.8	pWVir	15.833	16.588	9.6261854	0.0004541	2165.62507	0.284	0.034	4.657	0.022	1.620
OGLE-LMC-T2CEP-041	LMC119.7	41762	 5:05:15.21	-69:22:08.8	BLHer	16.963	17.355	2.4761194	0.0000055	463.98503	0.248	0.257	5.231	0.089	3.894
OGLE-LMC-T2CEP-042	LMC119.6	40524	 5:05:44.82	-69:14:55.9	pWVir	16.371	16.858	4.9227037	0.0001389	462.57053	0.205	0.238	4.521	0.077	4.339
OGLE-LMC-T2CEP-043	LMC120.2	167	 5:06:00.44	-69:55:14.6	WVir	16.851	17.774	6.5594270	0.0001015	462.41832	0.081	0.069	0.212	0.000	-99.99
OGLE-LMC-T2CEP-044	LMC120.3	42370	 5:06:28.86	-69:43:58.8	WVir	16.099	17.108	13.2701004	0.0004103	464.57726	0.363	0.086	2.186	0.041	2.364
OGLE-LMC-T2CEP-045	LMC119.1	11	 5:06:34.06	-69:30:03.7	RVTau	13.729	14.787	63.3863391	0.2348420	2148.64483	0.115	0.164	3.447	0.356	2.920
OGLE-LMC-T2CEP-046	LMC117.1	73	 5:07:38.94	-68:20:05.9	WVir	15.547	16.415	14.7437956	0.0017651	2162.69705	0.476	0.254	5.896	0.041	5.926
OGLE-LMC-T2CEP-047	LMC120.4	22552	 5:07:46.53	-69:37:00.3	WVir	16.616	17.536	7.2862123	0.0001009	723.50042	0.116	0.133	0.450	0.000	-99.99
OGLE-LMC-T2CEP-048	LMC118.4	63258	 5:09:03.48	-68:25:27.8	BLHer	17.824	18.392	1.4454298	0.0000026	2166.29658	0.687	0.403	4.306	0.172	0.900
OGLE-LMC-T2CEP-049	LMC112.5	48722	 5:09:21.88	-69:36:03.0	BLHer	17.130	17.703	3.2352751	0.0000132	723.91243	0.361	0.245	5.346	0.096	4.416
OGLE-LMC-T2CEP-050	LMC118.1	84661	 5:09:26.15	-68:50:05.0	RVTau	14.964	15.661	34.7483438	0.0044555	713.64755	0.177	0.312	5.721	0.055	5.274
OGLE-LMC-T2CEP-051	LMC110.8	43396	 5:09:41.93	-68:51:25.0	RVTau	14.569	15.440	40.6063997	0.0097614	720.05675	0.186	0.087	1.895	0.034	2.888
OGLE-LMC-T2CEP-052	LMC112.7	9733	 5:09:59.34	-69:58:28.7	pWVir	16.395	16.861	4.6879253	0.0000710	2164.81082	0.160	0.130	5.155	0.003	-99.99
OGLE-LMC-T2CEP-053	LMC109.6	25013	 5:10:53.63	-67:57:31.9	BLHer	18.044	18.620	1.0430007	0.0000009	2167.14877	0.756	0.460	4.890	0.208	3.357
OGLE-LMC-T2CEP-054	LMC113.6	17293	 5:11:05.36	-70:21:38.4	WVir	16.337	17.295	9.9251446	0.0002936	2162.58574	0.237	0.124	1.426	0.067	1.686
OGLE-LMC-T2CEP-055	LMC109.6	24745	 5:11:15.17	-67:56:00.4	RVTau	14.262	15.078	41.0053024	0.0097859	2129.25136	0.428	0.240	5.676	0.065	4.877
OGLE-LMC-T2CEP-056	LMC112.5	75266	 5:11:19.35	-69:34:32.3	WVir	16.677	17.654	7.2896382	0.0000983	452.87968	0.124	0.122	0.369	0.001	-99.99
OGLE-LMC-T2CEP-057	LMC110.7	60635	 5:11:21.13	-68:40:13.3	WVir	15.749	16.707	16.6320415	0.0002462	2159.16741	0.836	0.054	0.062	0.059	3.158
OGLE-LMC-T2CEP-058	LMC110.6	17187	 5:11:33.52	-68:35:53.7	RVTau	15.511	16.594	21.4829509	0.0010661	2167.45398	0.874	0.188	6.088	0.051	4.913
OGLE-LMC-T2CEP-059	LMC113.7	24715	 5:11:49.38	-70:34:11.2	WVir	15.643	16.606	16.7360908	0.0002773	2151.64345	0.868	0.068	0.005	0.056	3.307
OGLE-LMC-T2CEP-060	LMC113.4	436	 5:12:17.99	-70:15:04.8	BLHer	18.096	18.685	1.2365975	0.0000027	2166.68942	0.597	0.284	4.471	0.068	4.344
OGLE-LMC-T2CEP-061	LMC111.6	78508	 5:12:30.42	-69:07:16.2	BLHer	18.018	18.588	1.1815124	0.0000012	457.30501	0.406	0.187	4.548	0.060	3.583
OGLE-LMC-T2CEP-062	LMC112.4	366	 5:13:19.12	-69:38:57.6	WVir	17.338	18.490	6.0466764	0.0001148	453.31305	0.093	0.081	6.009	0.000	-99.99
OGLE-LMC-T2CEP-063	LMC112.2	56955	 5:13:43.86	-69:50:41.1	WVir	16.662	17.553	6.9245800	0.0002028	2165.50032	0.122	0.131	6.223	0.026	4.502
OGLE-LMC-T2CEP-064	LMC110.3	8878	 5:13:55.87	-68:37:52.1	BLHer	17.514	18.151	2.1278906	0.0000027	2167.00843	0.609	0.237	5.248	0.119	3.511
OGLE-LMC-T2CEP-065	LMC111.4	56636	 5:14:00.75	-68:57:56.8	RVTau	14.699	15.611	35.0549398	0.0079629	455.17514	0.138	0.100	3.965	0.043	1.162
OGLE-LMC-T2CEP-066	LMC108.4	215	 5:14:06.05	-67:12:21.5	WVir	16.111	17.091	13.1092508	0.0004056	2158.38145	0.479	0.126	1.997	0.086	2.595
OGLE-LMC-T2CEP-067	LMC111.3	23099	 5:14:18.11	-69:12:35.0	RVTau	13.825	14.627	48.2317051	0.0093285	442.94273	0.358	0.085	4.675	0.111	1.085
OGLE-LMC-T2CEP-068	LMC111.4	67012	 5:14:27.05	-68:58:02.0	BLHer	17.671	18.264	1.6093007	0.0000017	456.51294	0.395	0.234	4.884	0.125	1.307
OGLE-LMC-T2CEP-069	LMC112.4	28478	 5:14:56.77	-69:40:22.4	BLHer	18.372	18.919	1.0212542	0.0000026	457.21815	0.303	0.241	5.643	0.053	4.453
OGLE-LMC-T2CEP-070	LMC107.4	15280	 5:14:57.75	-66:40:12.9	WVir	15.644	16.490	15.4377950	0.0001525	2155.81995	0.867	0.207	6.187	0.094	3.847
OGLE-LMC-T2CEP-071	LMC110.1	23130	 5:15:08.63	-68:54:53.5	BLHer	17.872	18.382	1.1521638	0.0000008	457.43379	0.589	0.322	4.584	0.109	2.492
OGLE-LMC-T2CEP-072	LMC107.2	14303	 5:15:24.42	-66:58:53.3	WVir	15.873	16.836	14.5137944	0.0013313	2166.62283	0.398	0.008	3.114	0.042	3.064
OGLE-LMC-T2CEP-073	LMC108.3	17983	 5:15:34.92	-67:20:42.8	BLHer	17.195	17.919	3.0879049	0.0000063	2165.50004	0.625	0.274	5.427	0.131	4.569
OGLE-LMC-T2CEP-074	LMC101.8	50510	 5:15:48.75	-68:48:48.1	WVir	16.070	16.892	8.9883439	0.0005833	2123.38975	0.118	0.079	2.219	0.028	1.349
OGLE-LMC-T2CEP-075	LMC103.6	53296	 5:16:16.06	-69:43:36.9	RVTau	14.568	15.728	50.1865686	0.0107800	430.99079	0.555	0.136	6.163	0.062	1.076
OGLE-LMC-T2CEP-076	LMC102.8	857	 5:16:17.45	-68:14:10.5	BLHer	17.808	18.572	2.1042928	0.0000048	2122.89872	0.662	0.318	5.194	0.171	3.368
OGLE-LMC-T2CEP-077	LMC103.5	1047	 5:16:21.44	-69:36:59.2	BLHer	17.762	18.039	1.2138023	0.0000020	456.99603	0.231	0.277	4.976	0.066	4.159
OGLE-LMC-T2CEP-078	LMC100.8	72375	 5:16:29.09	-69:24:09.0	pWVir	16.308	17.206	6.7162943	0.0000785	455.31768	0.193	0.245	5.030	0.031	3.721
OGLE-LMC-T2CEP-079	LMC101.5	28691	 5:16:35.66	-68:21:01.2	WVir	16.287	17.449	14.8453655	0.0005091	2122.19369	0.819	0.097	1.219	0.070	2.317
OGLE-LMC-T2CEP-080	LMC103.6	64992	 5:16:47.43	-69:44:15.1	RVTau	14.341	15.175	40.9164131	0.0053740	436.42111	0.498	0.132	5.592	0.018	3.919
OGLE-LMC-T2CEP-081	LMC106.7	172	 5:16:51.39	-71:44:15.1	WVir	16.274	17.204	9.4796569	0.0002687	2158.70252	0.205	0.134	1.165	0.017	1.678
OGLE-LMC-T2CEP-082	LMC106.7	74	 5:16:55.33	-71:41:41.5	RVTau	14.982	16.065	35.1243472	0.0053173	2145.17547	0.725	0.090	5.534	0.024	3.543
OGLE-LMC-T2CEP-083	LMC103.7	54156	 5:16:58.99	-69:51:19.3	pWVir	16.531	17.320	5.9676496	0.0000424	2119.65683	0.519	0.162	5.481	0.034	3.804
OGLE-LMC-T2CEP-084	LMC100.8	93186	 5:17:07.50	-69:27:34.1	BLHer	17.512	17.841	1.7708404	0.0000025	456.08800	0.396	0.324	5.271	0.145	3.914
OGLE-LMC-T2CEP-085	LMC105.8	11987	 5:18:12.87	-71:17:15.4	BLHer	17.142	17.888	3.4050955	0.0000107	2160.55457	0.550	0.283	5.616	0.143	4.818
OGLE-LMC-T2CEP-086	LMC103.6	93417	 5:18:17.80	-69:43:27.7	WVir	15.629	16.486	15.8455000	0.0000829	452.84478	0.871	0.119	0.103	0.059	3.593
OGLE-LMC-T2CEP-087	LMC103.5	47455	 5:18:21.64	-69:40:45.2	WVir	16.887	17.770	5.1849790	0.0000223	454.04523	0.301	0.218	5.918	0.055	5.809
OGLE-LMC-T2CEP-088	LMC105.5	18100	 5:18:33.57	-70:50:19.2	BLHer	17.212	17.353	1.9507490	0.0000213	2161.24295	0.088	0.285	5.547	0.183	3.512
OGLE-LMC-T2CEP-089	LMC103.6	39466	 5:18:35.72	-69:45:45.7	BLHer	18.032	18.492	1.1672977	0.0000011	455.65166	0.476	0.211	4.551	0.089	3.227
OGLE-LMC-T2CEP-090	LMC102.6	16879	 5:18:36.35	-67:56:30.4	BLHer	17.842	18.490	1.4789288	0.0000045	2123.74331	0.391	0.163	5.274	0.139	0.811
OGLE-LMC-T2CEP-091	LMC100.5	48271	 5:18:45.48	-69:03:21.6	RVTau	14.203	14.899	35.7493456	0.0025816	425.38622	0.546	0.185	5.915	0.057	5.362
OGLE-LMC-T2CEP-092	LMC103.1	38744	 5:19:23.63	-70:02:56.8	BLHer	17.401	18.143	2.6167684	0.0000065	2122.71933	0.555	0.227	5.468	0.119	4.331
OGLE-LMC-T2CEP-093	LMC103.2	50784	 5:19:26.45	-69:51:51.0	WVir	15.130	15.861	17.5930492	0.0008945	446.06633	0.463	0.171	5.098	0.046	2.459
OGLE-LMC-T2CEP-094	LMC103.2	51157	 5:19:53.20	-69:53:09.9	WVir	16.588	17.529	8.4684897	0.0003270	2120.73841	0.157	0.144	0.755	0.045	0.779
OGLE-LMC-T2CEP-095	LMC102.1	509	 5:20:09.84	-68:18:35.3	WVir	17.009	17.873	5.0001218	0.0002297	2121.24028	0.053	0.000	-99.99	0.000	-99.99
OGLE-LMC-T2CEP-096	LMC101.1	53540	 5:20:10.42	-68:48:39.2	WVir	15.918	16.832	13.9257224	0.0001357	2129.22374	0.889	0.237	0.136	0.068	3.229
OGLE-LMC-T2CEP-097	LMC100.3	15603	 5:20:20.58	-69:12:20.9	WVir	16.177	17.064	10.5101666	0.0001392	446.10816	0.233	0.138	1.550	0.043	1.982
OGLE-LMC-T2CEP-098	LMC104.4	55210	 5:20:25.00	-70:11:08.7	pWVir	14.374	14.671	4.9737372	0.0000124	829.46470	0.104	0.166	4.950	0.125	3.009
OGLE-LMC-T2CEP-099	LMC100.4	30495	 5:20:44.48	-69:01:48.4	WVir	15.932	16.999	15.4867877	0.0004773	2111.72112	0.611	0.087	1.979	0.086	2.521
OGLE-LMC-T2CEP-100	LMC104.3	17874	 5:21:14.64	-70:23:15.4	WVir	16.642	17.407	7.4310950	0.0001601	825.70218	0.410	0.148	5.522	0.088	5.322
OGLE-LMC-T2CEP-101	LMC100.3	32462	 5:21:18.87	-69:11:47.3	WVir	16.035	16.838	11.4185596	0.0001447	444.88281	0.606	0.437	4.697	0.071	3.065
OGLE-LMC-T2CEP-102	LMC103.2	26384	 5:21:19.67	-69:56:56.2	BLHer	17.758	18.231	1.2660176	0.0000008	455.07285	0.620	0.285	4.531	0.122	2.922
OGLE-LMC-T2CEP-103	LMC104.4	21411	 5:21:35.27	-70:13:25.7	WVir	16.039	16.995	12.9082775	0.0003099	824.38616	0.435	0.122	1.621	0.078	2.433
